"","crop","type","season","diameter","corolla","colour","nectar","b.system","s.pollination","inflorescence","composite","visitor","guild","tongue","body","sociality","feeding"
"694","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Lasioglossum_xanthopus","SWEAT BEES",NA,11.5,"no","polylectic"
"695","Brassica_napus","herbaceous","summer",12.5,"OPEN","yellow","yes","wind/insects","no","yes","no","Sphecodes_ruficrus","SWEAT BEES",NA,NA,NA,"parasitic"
"696","Carum_carvi","herbaceous","summer",4,"OPEN","white","yes","insects","no","yes","no","Halictus_maculatus","SWEAT BEES",NA,8,"yes","polylectic"
"697","Carum_carvi","herbaceous","summer",4,"OPEN","white","yes","insects","no","yes","no","Halictus_scabiosae","SWEAT BEES",NA,NA,"yes","polylectic"
"698","Coriandrum_sativum","arboreous","spriaut",NA,"OPEN","white","yes","insects","no","yes","no","Sphecodes_albilabris","SWEAT BEES",NA,12.5,"no","parasitic"
"699","Cucumis_sativus","herbaceous","sprisum",NA,"OPEN","yellow","yes","insects","no","solitary","no","Halictus_scabiosae","SWEAT BEES",NA,NA,"yes","polylectic"
"700","Cucumis_sativus","herbaceous","sprisum",NA,"OPEN","yellow","yes","insects","no","solitary","no","Lasioglossum_puncticolle","SWEAT BEES",NA,NA,"no","polylectic"
"701","Cucumis_sativus","herbaceous","sprisum",NA,"OPEN","yellow","yes","insects","no","solitary","no","Lasioglossum_reticulatum","SWEAT BEES",NA,8,NA,"polylectic"
"702","Daucus_carota","herbaceous","summer",3,"OPEN","white","yes","insects","no","yes","no","Halictus_maculatus","SWEAT BEES",NA,8,"yes","polylectic"
"703","Daucus_carota","herbaceous","summer",3,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_reticulatum","SWEAT BEES",NA,8,NA,"polylectic"
"704","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Halictus_scabiosae","SWEAT BEES",NA,NA,"yes","polylectic"
"705","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Halictus_tumulorum","SWEAT BEES",NA,7,"yes","polylectic"
"706","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_calceatum","SWEAT BEES",3.5,9,"no","polylectic"
"707","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_glabriusculum","SWEAT BEES",NA,NA,"no","polylectic"
"708","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_laticeps","SWEAT BEES",NA,7,"yes","polylectic"
"709","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_lineare","SWEAT BEES",NA,NA,"yes","polylectic"
"710","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_malachurum","SWEAT BEES",NA,10,"yes","polylectic"
"711","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_minutissimum","SWEAT BEES",NA,5,"yes","polylectic"
"712","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Lasioglossum_minutulum","SWEAT BEES",NA,6.5,"no","polylectic"
